bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,file_type,timeout_ms,time_ms,terminated
0,0,1,0,0,equality_check,ser,30000,88.0,1
1,1,0,0,0,equality_check,ser,30000,88.0,1
0,1,0,0,0,equality_check,ser,30000,91.0,1
1,0,0,0,0,equality_check,ser,30000,92.0,1
0,0,0,0,0,equality_check,ser,30000,92.0,1
1,1,1,1,1,ex,ser,30000,371.0,1
0,1,1,1,1,ex,ser,30000,378.0,1
1,0,1,1,1,ex,ser,30000,381.0,1
0,0,1,1,1,ex,ser,30000,374.0,1
1,1,0,1,1,ex,ser,30000,366.0,1
0,1,0,1,1,ex,ser,30000,377.0,1
1,0,0,1,1,ex,ser,30000,363.0,1
0,0,0,1,1,ex,ser,30000,363.0,1
1,1,1,0,1,ex,ser,30000,402.0,1
0,1,1,0,1,ex,ser,30000,382.0,1
1,0,1,0,1,ex,ser,30000,375.0,1
0,0,1,0,1,ex,ser,30000,366.0,1
1,1,0,0,1,ex,ser,30000,371.0,1
0,1,0,0,1,ex,ser,30000,361.0,1
1,0,0,0,1,ex,ser,30000,370.0,1
0,0,0,0,1,ex,ser,30000,355.0,1
1,1,1,1,0,ex,ser,30000,366.0,1
0,1,1,1,0,ex,ser,30000,364.0,1
1,0,1,1,0,ex,ser,30000,371.0,1
0,0,1,1,0,ex,ser,30000,367.0,1
1,1,0,1,0,ex,ser,30000,373.0,1
0,1,0,1,0,ex,ser,30000,365.0,1
1,0,0,1,0,ex,ser,30000,380.0,1
0,0,0,1,0,ex,ser,30000,392.0,1
1,1,1,0,0,ex,ser,30000,396.0,1
0,1,1,0,0,ex,ser,30000,403.0,1
1,0,1,0,0,ex,ser,30000,431.0,1
0,0,1,0,0,ex,ser,30000,418.0,1
1,1,0,0,0,ex,ser,30000,412.0,1
0,1,0,0,0,ex,ser,30000,391.0,1
1,0,0,0,0,ex,ser,30000,427.0,1
0,0,0,0,0,ex,ser,30000,417.0,1
1,1,1,1,1,flag_non_ser,ser,30000,996.0,1
0,1,1,1,1,flag_non_ser,ser,30000,30004.0,0
1,0,1,1,1,flag_non_ser,ser,30000,725.0,1
0,0,1,1,1,flag_non_ser,ser,30000,30004.0,0
1,1,0,1,1,flag_non_ser,ser,30000,795.0,1
0,1,0,1,1,flag_non_ser,ser,30000,30003.0,0
1,0,0,1,1,flag_non_ser,ser,30000,715.0,1
0,0,0,1,1,flag_non_ser,ser,30000,30004.0,0
1,1,1,0,1,flag_non_ser,ser,30000,966.0,1
0,1,1,0,1,flag_non_ser,ser,30000,30003.0,0
1,0,1,0,1,flag_non_ser,ser,30000,725.0,1
0,0,1,0,1,flag_non_ser,ser,30000,30003.0,0
1,1,0,0,1,flag_non_ser,ser,30000,680.0,1
0,1,0,0,1,flag_non_ser,ser,30000,30004.0,0
1,0,0,0,1,flag_non_ser,ser,30000,875.0,1
