bidirectional ON,remove-redundant ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,1,0,0,nondet2,ser,30000,120,1
0,1,0,0,nondet2,ser,30000,120,1
1,0,0,0,nondet2,ser,30000,122,1
0,0,0,0,nondet2,ser,30000,115,1
1,1,1,1,nondet_impl2,ser,30000,121,1
0,1,1,1,nondet_impl2,ser,30000,121,1
1,0,1,1,nondet_impl2,ser,30000,117,1
0,0,1,1,nondet_impl2,ser,30000,114,1
1,1,0,1,nondet_impl2,ser,30000,117,1
0,1,0,1,nondet_impl2,ser,30000,117,1
1,0,0,1,nondet_impl2,ser,30000,117,1
0,0,0,1,nondet_impl2,ser,30000,119,1
1,1,1,0,nondet_impl2,ser,30000,123,1
0,1,1,0,nondet_impl2,ser,30000,123,1
1,0,1,0,nondet_impl2,ser,30000,117,1
0,0,1,0,nondet_impl2,ser,30000,116,1
1,1,0,0,nondet_impl2,ser,30000,123,1
0,1,0,0,nondet_impl2,ser,30000,123,1
1,0,0,0,nondet_impl2,ser,30000,117,1
0,0,0,0,nondet_impl2,ser,30000,115,1
1,1,1,1,nondet_impl,ser,30000,119,1
0,1,1,1,nondet_impl,ser,30000,120,1
1,0,1,1,nondet_impl,ser,30000,120,1
0,0,1,1,nondet_impl,ser,30000,119,1
1,1,0,1,nondet_impl,ser,30000,127,1
0,1,0,1,nondet_impl,ser,30000,132,1
1,0,0,1,nondet_impl,ser,30000,125,1
0,0,0,1,nondet_impl,ser,30000,126,1
1,1,1,0,nondet_impl,ser,30000,123,1
0,1,1,0,nondet_impl,ser,30000,121,1
1,0,1,0,nondet_impl,ser,30000,122,1
0,0,1,0,nondet_impl,ser,30000,120,1
1,1,0,0,nondet_impl,ser,30000,126,1
0,1,0,0,nondet_impl,ser,30000,125,1
1,0,0,0,nondet_impl,ser,30000,133,1
0,0,0,0,nondet_impl,ser,30000,131,1
