mode,example,elapsed_ms
without-bidirectional without-remove-redundant-sets,fred2,209
without-remove-redundant-parts without-remove-redundant-sets,fred2,205
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,fred2,204
without-generate-less,fred2,511
without-bidirectional without-generate-less,fred2,500
without-remove-redundant-parts without-generate-less,fred2,502
without-bidirectional without-remove-redundant-parts without-generate-less,fred2,494
without-remove-redundant-sets without-generate-less,fred2,504
without-bidirectional without-remove-redundant-sets without-generate-less,fred2,492
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2,508
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2,492
without-smart-kleene-order,fred2,237
without-bidirectional without-smart-kleene-order,fred2,204
without-remove-redundant-parts without-smart-kleene-order,fred2,227
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,fred2,222
without-remove-redundant-sets without-smart-kleene-order,fred2,218
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,fred2,216
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2,205
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2,191
without-generate-less without-smart-kleene-order,fred2,30806
without-bidirectional without-generate-less without-smart-kleene-order,fred2,30986
without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2,30477
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2,391
without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2,364
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2,140
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2,31014
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2,350
all-on,fred_arith,142
without-bidirectional,fred_arith,141
without-remove-redundant-parts,fred_arith,132
without-bidirectional without-remove-redundant-parts,fred_arith,136
without-remove-redundant-sets,fred_arith,140
without-bidirectional without-remove-redundant-sets,fred_arith,135
without-remove-redundant-parts without-remove-redundant-sets,fred_arith,134
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,fred_arith,133
without-generate-less,fred_arith,435
without-bidirectional without-generate-less,fred_arith,435
without-remove-redundant-parts without-generate-less,fred_arith,415
without-bidirectional without-remove-redundant-parts without-generate-less,fred_arith,407
without-remove-redundant-sets without-generate-less,fred_arith,414
without-bidirectional without-remove-redundant-sets without-generate-less,fred_arith,408
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred_arith,408
